orderID,productID,unitPrice,quantity,discount,customerID,employeeID,orderDate,requiredDate,shippedDate,shipperID,freight
10248,11,14,12,0,VINET,5,04/06/2023,01/08/2023,16/07/2023,3,32.38
10248,42,9.8,10,0,VINET,5,04/06/2023,01/08/2023,16/07/2023,3,32.38
10248,72,34.8,5,0,VINET,5,04/06/2023,01/08/2023,16/07/2023,3,32.38
10249,14,18.6,9,0,TOMSP,6,05/06/2023,16/08/2023,10/07/2023,1,11.61
10249,51,42.4,40,0,TOMSP,6,05/06/2023,16/08/2023,10/07/2023,1,11.61
10250,41,7.7,10,0,HANAR,4,08/06/2023,05/08/2023,12/07/2023,2,65.83
10250,51,42.4,35,0.15,HANAR,4,08/06/2023,05/08/2023,12/07/2023,2,65.83
10250,65,16.8,15,0.15,HANAR,4,08/06/2023,05/08/2023,12/07/2023,2,65.83
10251,22,16.8,6,0.05,VICTE,3,08/06/2023,05/08/2023,15/07/2023,1,41.34
10251,57,15.6,15,0.05,VICTE,3,08/06/2023,05/08/2023,15/07/2023,1,41.34
10251,65,16.8,20,0,VICTE,3,08/06/2023,05/08/2023,15/07/2023,1,41.34
10252,20,64.8,40,0.05,SUPRD,4,09/06/2023,06/08/2023,11/07/2023,2,51.3
10252,33,2,25,0.05,SUPRD,4,09/06/2023,06/08/2023,11/07/2023,2,51.3
10252,60,27.2,40,0,SUPRD,4,09/06/2023,06/08/2023,11/07/2023,2,51.3
10253,31,10,20,0,HANAR,3,10/06/2023,24/06/2023,16/07/2023,2,58.17
10253,39,14.4,42,0,HANAR,3,10/06/2023,24/06/2023,16/07/2023,2,58.17
10253,49,16,40,0,HANAR,3,10/06/2023,24/06/2023,16/07/2023,2,58.17
10254,24,3.6,15,0.15,CHOPS,5,11/06/2023,08/08/2023,23/07/2023,2,22.98
10254,55,19.2,21,0.15,CHOPS,5,11/06/2023,08/08/2023,23/07/2023,2,22.98
10254,74,8,21,0,CHOPS,5,11/06/2023,08/08/2023,23/07/2023,2,22.98
10255,2,15.2,20,0,RICSU,9,12/06/2023,09/08/2023,15/07/2023,3,148.33
10255,16,13.9,35,0,RICSU,9,12/06/2023,09/08/2023,15/07/2023,3,148.33
10255,36,15.2,25,0,RICSU,9,12/06/2023,09/08/2023,15/07/2023,3,148.33
10255,59,44,30,0,RICSU,9,12/06/2023,09/08/2023,15/07/2023,3,148.33
10256,53,26.2,15,0,WELLI,3,15/06/2023,12/08/2023,17/07/2023,2,13.97
10256,77,10.4,12,0,WELLI,3,15/06/2023,12/08/2023,17/07/2023,2,13.97
10257,27,35.1,25,0,HILAA,4,16/07/2023,13/08/2023,22/07/2023,3,81.91
10257,39,14.4,6,0,HILAA,4,16/07/2023,13/08/2023,22/07/2023,3,81.91
10257,77,10.4,15,0,HILAA,4,16/07/2023,13/08/2023,22/07/2023,3,81.91
10258,2,15.2,50,0.2,ERNSH,1,17/07/2023,14/08/2023,23/07/2023,1,140.51
10258,5,17,65,0.2,ERNSH,1,17/07/2023,14/08/2023,23/07/2023,1,140.51
10258,32,25.6,6,0.2,ERNSH,1,17/07/2023,14/08/2023,23/07/2023,1,140.51
10259,21,8,10,0,CENTC,4,18/07/2023,15/08/2023,25/07/2023,3,3.25
10259,37,20.8,1,0,CENTC,4,18/07/2023,15/08/2023,25/07/2023,3,3.25
10260,41,7.7,16,0.25,OTTIK,4,19/07/2023,16/08/2023,29/07/2023,1,55.09
10260,57,15.6,50,0,OTTIK,4,19/07/2023,16/08/2023,29/07/2023,1,55.09
10260,62,39.4,15,0.25,OTTIK,4,19/07/2023,16/08/2023,29/07/2023,1,55.09
10260,70,12,21,0.25,OTTIK,4,19/07/2023,16/08/2023,29/07/2023,1,55.09
10261,21,8,20,0,QUEDE,4,19/07/2023,16/08/2023,30/07/2023,2,3.05
10261,35,14.4,20,0,QUEDE,4,19/07/2023,16/08/2023,30/07/2023,2,3.05
10262,5,17,12,0.2,RATTC,8,22/07/2023,19/08/2023,25/07/2023,3,48.29
10262,7,24,15,0,RATTC,8,22/07/2023,19/08/2023,25/07/2023,3,48.29
10262,56,30.4,2,0,RATTC,8,22/07/2023,19/08/2023,25/07/2023,3,48.29
10263,16,13.9,60,0.25,ERNSH,9,23/07/2023,20/08/2023,31/07/2023,3,146.06
10263,24,3.6,28,0,ERNSH,9,23/07/2023,20/08/2023,31/07/2023,3,146.06
10263,30,20.7,60,0.25,ERNSH,9,23/07/2023,20/08/2023,31/07/2023,3,146.06
10263,74,8,36,0.25,ERNSH,9,23/07/2023,20/08/2023,31/07/2023,3,146.06
10264,2,15.2,35,0,FOLKO,6,24/07/2023,21/08/2023,23/08/2023,3,3.67
10264,41,7.7,25,0.15,FOLKO,6,24/07/2023,21/08/2023,23/08/2023,3,3.67
10265,17,31.2,30,0,BLONP,2,25/07/2023,22/08/2023,12/08/2023,1,55.28
10265,70,12,20,0,BLONP,2,25/07/2023,22/08/2023,12/08/2023,1,55.28
10266,12,30.4,12,0.05,WARTH,3,26/07/2023,06/09/2023,31/07/2023,3,25.73
10267,40,14.7,50,0,FRANK,4,29/07/2023,26/08/2023,06/08/2023,1,208.58
10267,59,44,70,0.15,FRANK,4,29/07/2023,26/08/2023,06/08/2023,1,208.58
10267,76,14.4,15,0.15,FRANK,4,29/07/2023,26/08/2023,06/08/2023,1,208.58
10268,29,99,10,0,GROSR,8,30/07/2023,27/08/2023,02/08/2023,3,66.29
10268,72,27.8,4,0,GROSR,8,30/07/2023,27/08/2023,02/08/2023,3,66.29
10269,33,2,60,0.05,WHITC,5,31/07/2023,14/08/2023,09/08/2023,1,4.56
10269,72,27.8,20,0.05,WHITC,5,31/07/2023,14/08/2023,09/08/2023,1,4.56
10270,36,15.2,30,0,WARTH,1,01/08/2023,29/08/2023,02/08/2023,1,136.54
10270,43,36.8,25,0,WARTH,1,01/08/2023,29/08/2023,02/08/2023,1,136.54
10271,33,2,24,0,SPLIR,6,01/08/2023,29/08/2023,30/08/2023,2,4.54
10272,20,64.8,6,0,RATTC,6,02/08/2023,30/08/2023,06/08/2023,2,98.03
10272,31,10,40,0,RATTC,6,02/08/2023,30/08/2023,06/08/2023,2,98.03
10272,72,27.8,24,0,RATTC,6,02/08/2023,30/08/2023,06/08/2023,2,98.03
10273,10,24.8,24,0.05,QUICK,3,05/08/2023,02/09/2023,12/08/2023,3,76.07
10273,31,10,15,0.05,QUICK,3,05/08/2023,02/09/2023,12/08/2023,3,76.07
10273,33,2,20,0,QUICK,3,05/08/2023,02/09/2023,12/08/2023,3,76.07
10273,40,14.7,60,0.05,QUICK,3,05/08/2023,02/09/2023,12/08/2023,3,76.07
10273,76,14.4,33,0.05,QUICK,3,05/08/2023,02/09/2023,12/08/2023,3,76.07
10274,71,17.2,20,0,VINET,6,06/08/2023,03/09/2023,16/08/2023,1,6.01
10274,72,27.8,7,0,VINET,6,06/08/2023,03/09/2023,16/08/2023,1,6.01
10275,24,3.6,12,0.05,MAGAA,1,07/08/2023,04/09/2023,09/08/2023,1,26.93
10275,59,44,6,0.05,MAGAA,1,07/08/2023,04/09/2023,09/08/2023,1,26.93
10276,10,24.8,15,0,TORTU,8,08/08/2023,22/08/2023,14/08/2023,3,13.84
10276,13,4.8,10,0,TORTU,8,08/08/2023,22/08/2023,14/08/2023,3,13.84
10277,28,36.4,20,0,MORGK,2,09/08/2023,06/09/2023,13/08/2023,3,125.77
